animal_id,birth_season,age,birth_date,sex,with_infant,trapping_date,euthanasia_date,days_between,necropsy_id,ketamine_time,ketamine_amount,euthanasia_time,brain_extraction_time,brain_frozen_time,blood_in_brain,saline_L,weight_kg,brain_weight_grams,MBR_ID,MMB_ID,MPTB_ID,animal_metadata_comments
03Z,2004,12.8,1/13/2004,F,Y,10/19/2016,10/26/2016,7,A16-407,10:50,,,11:30,,,,7.62,80.4,MBR0030,MMB0030,MPTB0003,mother without infant for 24 hrs before euthanasia
0B9,2005,12.1,11/2/2004,F,N,12/7/2016,12/14/2016,7,A16-509,09:45,,10:30,11:00,11:20,N,,5.84,95.7,MBR0068,MMB0068,MPTB0020,
0G3,2008,9.1,10/27/2007,F,N,11/30/2016,12/1/2016,1,A16-477,,,,12:15,12:40,N,,4.30,88.6,MBR0069,MMB0069,MPTB0015,weight not recorded prior to necropsy; listed weight (4.3kg) was from trapping event of same animal in 2012
0K1,2010,7.0,10/11/2009,M,N,10/18/2016,10/20/2016,2,A16-380,,,,,,,9.0,7.92,93.7,MBR0002,MMB0002,MPTB0005,
0V5,2015,1.2,7/29/2015,F,N,10/17/2016,10/18/2016,1,A16-374,,,,,,,1.5,1.21,NA,MBR0001,MMB0001,MPTB0004,"intended for SPF, but dehydrated; trapping document from Giselle (Cull 10.19.2016.xls) indicates animal ID as 0V9 and not 0V5 as indicated on labels"
16S,2002,15.1,11/6/2001,F,N,12/12/2016,12/19/2016,7,A16-525,09:00,,10:15,10:40,11:00,N,,6.72,87.5,MBR0057,MMB0057,MPTB0023,
1B7,2006,11.0,11/9/2005,M,N,11/15/2016,11/16/2016,1,A16-463,,,16:14,16:41,17:06,N,,8.58,96.1,MBR0054,MMB0054,MPTB0014,
1G8,2009,7.9,12/9/2008,M,N,10/26/2016,10/27/2016,1,A16-417,,,13:15,13:45,,Y,,9.30,112.4,MBR0048,MMB0048,MPTB0001,blood in posterior part of brain
1Q8,2013,4.3,8/19/2012,M,N,12/1/2016,12/12/2016,11,A16-497,,,,11:25,12:05,N,,5.62,112.5,MBR0070,MMB0070,MPTB0018,1Q8 brain bags missing; used blank ID labels BR105516-BR105527
1R2,2014,3.2,8/25/2013,M,N,10/19/2016,10/21/2016,2,A16-388,,,,,,N,NT,4.40,89.2,MBR0020,MMB0020,MPTB0011,
20S,2002,14.9,11/29/2001,F,Y,10/26/2016,10/27/2016,1,A16-418,,,15:50,16:25,,N,,6.60,77.0,MBR0041,MMB0041,MPTB0001,
22H,1997,19.9,12/4/1996,F,Y,10/19/2016,10/24/2016,5,A16-397,,,12:35,12:55,13:15,N,NT,5.98,85.6,MBR0029,MMB0029,MPTB0007,
2C0,2006,11.0,12/22/2005,F,Y,12/15/2016,12/20/2016,5,A16-534,08:55,,09:35,10:10,10:35,N,,6.96,96.1,MBR0071,MMB0071,MPTB0024,printed new brain tissue labels (BR105975-BR105986)
2C7,2006,11.2,9/26/2005,F,N,12/1/2016,12/8/2016,7,A16-486,,,,09:45,10:10,N,,6.32,90.6,MBR0072,MMB0072,MPTB0016,"morphometrics completed on 12/2, but Olga was traveling, so the animal was kept at CPRC until her return on 12/8"
